2019-05-07 09:40:40.705 [localhost-startStop-1] INFO  eu.hopu.activage.Initializer - Initializing deployment manager
2019-05-07 09:40:41.180 [localhost-startStop-1] DEBUG eu.hopu.activage.Initializer - METADATA_STORAGE_SERVER_URL → http://localhost:8081
2019-05-07 09:40:48.866 [localhost-startStop-1] INFO  eu.hopu.activage.Initializer - Deployment manager initialized
2019-05-07 09:43:50.152 [localhost-startStop-1] INFO  eu.hopu.activage.Initializer - Initializing deployment manager
2019-05-07 09:43:50.313 [localhost-startStop-1] DEBUG eu.hopu.activage.Initializer - METADATA_STORAGE_SERVER_URL → http://localhost:8081
2019-05-07 09:43:53.154 [localhost-startStop-1] INFO  eu.hopu.activage.Initializer - Deployment manager initialized
2019-05-07 09:44:41.189 [http-bio-8001-exec-5] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:44:41.404 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:44:41.188 [http-bio-8001-exec-1] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:44:41.404 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:44:41.188 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:44:52.238 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:44:52.240 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:44:52.266 [http-bio-8001-exec-5] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:44:52.277 [http-bio-8001-exec-1] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:44:52.297 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:28.000 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:28.001 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:28.034 [http-bio-8001-exec-1] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:28.055 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:28.067 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:28.070 [http-bio-8001-exec-1] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:28.114 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:28.116 [http-bio-8001-exec-10] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:28.136 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:28.147 [http-bio-8001-exec-10] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:36.266 [http-bio-8001-exec-1] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:36.274 [http-bio-8001-exec-8] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:36.282 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:36.285 [http-bio-8001-exec-6] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:36.288 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:36.306 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:36.312 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:36.575 [http-bio-8001-exec-8] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:36.586 [http-bio-8001-exec-1] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:36.587 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:37.801 [http-bio-8001-exec-6] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:37.805 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:37.806 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:37.809 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:37.822 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:37.823 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:37.840 [http-bio-8001-exec-6] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.843 [http-bio-8001-exec-10] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.845 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.977 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
